VQ1s,,,VQ2s,,,VQ3s,,,VQ4s,,,VQ5s,,,VQ6s,,,VQ7s,,,RQ1s,,,RQ2s,,,RQ3s,,,RQ4s,,,RQ5s,,,RQ6s,,,MQ1s,,,MQ2s,,,MQ3s,,,MQ4s,,,MQ5s,,,MQ6s,,,,,,
4,,,3,,,3,,,3,,,3,,,3,,,3,,,1,,,3,,,3,,,4,,,4,,,5,,,4,,,2,,,4,,,4,,,4,,,3,,,,63,,
3,,,3,,,3,,,2,,,4,,,4,,,3,,,-1,,,5,,,4,,,3,,,4,,,4,,,4,,,2,,,3,,,5,,,4,,,4,,,,63,,
4,,,2,,,3,,,3,,,3,,,3,,,3,,,1,,,4,,,4,,,4,,,4,,,4,,,3,,,3,,,4,,,5,,,4,,,5,,,,66,,
4,,,2,,,3,,,2,,,3,,,4,,,3,,,3,,,4,,,4,,,4,,,4,,,4,,,4,,,3,,,4,,,4,,,2,,,3,,,,64,,
4,,,1,,,3,,,2,,,3,,,2,,,3,,,0,,,2,,,1,,,4,,,1,,,2,,,4,,,2,,,3,,,3,,,2,,,0,,,,42,,
3,,,3,,,4,,,3,,,4,,,3,,,4,,,-1,,,3,,,4,,,4,,,4,,,-1,,,4,,,3,,,4,,,4,,,5,,,2,,,,59,,
4,,,2,,,3,,,2,,,3,,,3,,,2,,,1,,,5,,,1,,,3,,,2,,,2,,,4,,,2,,,4,,,4,,,4,,,2,,,,53,,
3,,,2,,,2,,,3,,,3,,,4,,,2,,,1,,,1,,,4,,,2,,,4,,,5,,,4,,,3,,,3,,,4,,,4,,,4,,,,58,,
4,,,3,,,3,,,4,,,1,,,4,,,4,,,0,,,4,,,4,,,1,,,2,,,4,,,4,,,3,,,3,,,3,,,5,,,3,,,,59,,
4,,,1,,,3,,,1,,,3,,,4,,,1,,,3,,,1,,,1,,,3,,,3,,,2,,,4,,,2,,,4,,,5,,,3,,,3,,,,51,,
4,,,3,,,3,,,2,,,1,,,2,,,2,,,-1,,,1,,,1,,,1,,,1,,,1,,,4,,,3,,,4,,,3,,,5,,,5,,,,45,,
4,,,1,,,2,,,2,,,3,,,3,,,3,,,1,,,3,,,4,,,4,,,4,,,3,,,4,,,3,,,4,,,5,,,5,,,4,,,,62,,
3,,,2,,,3,,,2,,,2,,,1,,,3,,,0,,,2,,,1,,,1,,,0,,,2,,,0,,,-1,,,-1,,,3,,,4,,,1,,,,28,,
4,,,3,,,3,,,2,,,2,,,4,,,3,,,1,,,2,,,1,,,3,,,4,,,5,,,4,,,2,,,3,,,2,,,2,,,2,,,,52,,
4,,,2,,,4,,,3,,,3,,,5,,,4,,,2,,,3,,,2,,,5,,,4,,,5,,,4,,,3,,,4,,,5,,,3,,,2,,,,67,,
3,,,3,,,1,,,4,,,1,,,3,,,1,,,1,,,3,,,2,,,2,,,4,,,3,,,4,,,1,,,4,,,4,,,2,,,4,,,,50,,
4,,,3,,,4,,,3,,,4,,,4,,,4,,,3,,,5,,,4,,,4,,,4,,,4,,,4,,,3,,,4,,,3,,,4,,,2,,,,70,,
4,,,1,,,3,,,2,,,3,,,3,,,2,,,3,,,4,,,4,,,4,,,4,,,4,,,4,,,2,,,4,,,4,,,4,,,4,,,,63,,
1,,,1,,,1,,,1,,,1,,,2,,,2,,,1,,,2,,,4,,,2,,,3,,,5,,,4,,,3,,,4,,,2,,,2,,,3,,,,44,,
4,,,3,,,3,,,4,,,-1,,,3,,,4,,,-1,,,2,,,-1,,,2,,,2,,,1,,,2,,,3,,,4,,,4,,,5,,,3,,,,46,,
4,,,2,,,4,,,2,,,2,,,3,,,2,,,3,,,4,,,4,,,5,,,2,,,5,,,3,,,2,,,4,,,4,,,5,,,4,,,,64,,
3,,,3,,,3,,,3,,,4,,,3,,,3,,,-1,,,3,,,0,,,1,,,2,,,3,,,4,,,3,,,4,,,4,,,5,,,5,,,,55,,
4,,,2,,,3,,,1,,,2,,,3,,,4,,,2,,,4,,,2,,,3,,,3,,,3,,,4,,,3,,,4,,,5,,,4,,,4,,,,60,,
2,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,5,,,4,,,5,,,3,,,5,,,4,,,3,,,4,,,3,,,4,,,3,,,,55,,
4,,,1,,,3,,,2,,,3,,,3,,,3,,,3,,,5,,,4,,,2,,,4,,,5,,,4,,,3,,,4,,,4,,,4,,,3,,,,64,,
4,,,0,,,3,,,2,,,3,,,3,,,3,,,-1,,,1,,,1,,,2,,,1,,,2,,,4,,,1,,,3,,,3,,,4,,,1,,,,40,,
3,,,1,,,3,,,1,,,4,,,3,,,2,,,1,,,1,,,3,,,2,,,1,,,3,,,4,,,3,,,4,,,5,,,5,,,3,,,,52,,
1,,,1,,,1,,,1,,,2,,,1,,,1,,,0,,,3,,,2,,,2,,,3,,,1,,,4,,,2,,,3,,,0,,,2,,,2,,,,32,,
2,,,0,,,1,,,0,,,1,,,3,,,2,,,3,,,5,,,1,,,3,,,3,,,5,,,3,,,1,,,3,,,3,,,2,,,1,,,,42,,
4,,,3,,,3,,,3,,,4,,,4,,,4,,,3,,,4,,,4,,,5,,,4,,,5,,,4,,,3,,,4,,,5,,,5,,,4,,,,75,,
2,,,1,,,2,,,2,,,2,,,3,,,3,,,1,,,4,,,4,,,3,,,2,,,5,,,2,,,2,,,4,,,2,,,1,,,2,,,,47,,
